Teacher_ID,Region,Age,Years_Experience,Educational_Attainment,Major_Specialization,Subject_Taught,Certification_Level,Fragility_Indicator
2026-STAR-0075,NCR,29,7,Bachelor of Secondary Education,Physics,Physics,Level 2,Low
2026-STAR-0076,Region IV-A,37,31,Bachelor of Secondary Education,Biology,Biology,Level 2,Low
2026-STAR-0077,Region VII,32,6,Master of Arts in Ed,Physics,Physics,Level 2,Low
2026-STAR-0078,Region VIII,43,2,Master of Arts in Ed,Mathematics,Physics,Level 1,High
2026-STAR-0079,Region III,30,6,Master of Arts in Ed,Mathematics,Mathematics,Level 2,Low
2026-STAR-0080,Region VIII,26,8,PhD STEM,General Science,Chemistry,Level 1,High
2026-STAR-0081,Region VII,27,16,PhD STEM,Chemistry,Chemistry,Level 3,Low
2026-STAR-0082,Region VII,28,16,BS Science,Biology,Biology,Level 2,Low
2026-STAR-0083,Region I,40,26,PhD STEM,Chemistry,Chemistry,Level 3,Low
2026-STAR-0084,BARMM,32,6,Bachelor of Secondary Education,Chemistry,Chemistry,Level 3,Low
2026-STAR-0085,NCR,31,24,Master of Arts in Ed,Biology,Biology,Level 3,Low
2026-STAR-0086,Region VIII,35,6,BS Science,Mathematics,Mathematics,Level 2,Low
2026-STAR-0087,BARMM,25,10,PhD STEM,Chemistry,Chemistry,Level 2,Low
2026-STAR-0088,NCR,58,9,Master of Arts in Ed,Chemistry,Chemistry,Level 2,Low
2026-STAR-0089,Region III,44,21,BS Science,Biology,Physics,Level 1,High
2026-STAR-0090,Region III,30,23,PhD STEM,General Science,Physics,Level 1,High
2026-STAR-0091,Region IV-A,55,34,PhD STEM,Biology,Biology,Level 2,Low
2026-STAR-0092,Region III,26,30,BS Science,General Science,General Science,Level 3,Low
2026-STAR-0093,Region IV-A,28,27,Master of Arts in Ed,Mathematics,Mathematics,Level 2,Low
2026-STAR-0094,Region VII,53,31,BS Science,General Science,General Science,Level 3,Low
2026-STAR-0095,Region VIII,25,3,BS Science,Physics,General Science,Level 1,High
2026-STAR-0096,Region VIII,30,9,PhD STEM,Biology,Mathematics,Level 1,High
2026-STAR-0097,Region I,41,10,BS Science,Biology,General Science,Level 1,High
2026-STAR-0098,Region IV-A,52,18,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0099,NCR,34,32,Bachelor of Secondary Education,Biology,Biology,Level 2,Low
2026-STAR-0100,Region I,40,24,BS Science,Physics,Physics,Level 3,Low
2026-STAR-0101,Region III,32,8,PhD STEM,General Science,General Science,Level 2,Low
2026-STAR-0102,Region I,55,31,PhD STEM,General Science,General Science,Level 3,Low
2026-STAR-0103,Region VII,44,34,Bachelor of Secondary Education,Biology,Biology,Level 3,Low
2026-STAR-0104,NCR,47,26,Bachelor of Secondary Education,Biology,Biology,Level 2,Low
2026-STAR-0105,Region VII,47,20,BS Science,Chemistry,Chemistry,Level 2,Low
2026-STAR-0106,NCR,48,10,Master of Arts in Ed,Physics,Physics,Level 3,Low
2026-STAR-0107,NCR,44,18,Master of Arts in Ed,Chemistry,Chemistry,Level 2,Low
2026-STAR-0108,Region III,29,5,Master of Arts in Ed,Chemistry,Chemistry,Level 3,Low
2026-STAR-0109,NCR,26,13,Bachelor of Secondary Education,Physics,Physics,Level 3,Low
2026-STAR-0110,Region VII,53,10,Master of Arts in Ed,General Science,General Science,Level 2,Low
2026-STAR-0111,Region IV-A,40,19,PhD STEM,Mathematics,Mathematics,Level 3,Low
2026-STAR-0112,NCR,57,20,Master of Arts in Ed,Chemistry,Biology,Level 1,High
2026-STAR-0113,Region VIII,44,3,BS Science,Chemistry,Chemistry,Level 1,Low
2026-STAR-0114,Region I,37,21,Master of Arts in Ed,Chemistry,Chemistry,Level 2,Low
2026-STAR-0115,Region I,31,16,Master of Arts in Ed,General Science,General Science,Level 3,Low
2026-STAR-0116,Region III,27,14,BS Science,Physics,Physics,Level 2,Low
2026-STAR-0117,Region IV-A,27,24,PhD STEM,General Science,Physics,Level 1,High
2026-STAR-0118,BARMM,39,6,Master of Arts in Ed,General Science,Mathematics,Level 1,High
2026-STAR-0119,Region III,43,11,Master of Arts in Ed,Chemistry,Chemistry,Level 3,Low
2026-STAR-0120,Region IV-A,52,16,PhD STEM,Chemistry,Chemistry,Level 2,Low
2026-STAR-0121,Region VII,25,15,Bachelor of Secondary Education,Biology,Biology,Level 2,Low
2026-STAR-0122,BARMM,33,11,Master of Arts in Ed,Mathematics,Physics,Level 1,High
2026-STAR-0123,NCR,55,20,Bachelor of Secondary Education,Chemistry,Chemistry,Level 2,Low
2026-STAR-0124,NCR,56,18,Master of Arts in Ed,Physics,Chemistry,Level 1,High
2026-STAR-0125,Region VIII,35,4,PhD STEM,Chemistry,Chemistry,Level 1,Low
2026-STAR-0126,Region VII,56,27,PhD STEM,General Science,General Science,Level 3,Low
2026-STAR-0127,BARMM,38,11,BS Science,General Science,Biology,Level 1,High
2026-STAR-0128,BARMM,36,1,Master of Arts in Ed,Physics,Chemistry,Level 1,High
2026-STAR-0129,Region I,37,19,BS Science,General Science,General Science,Level 2,Low
2026-STAR-0130,Region III,52,28,PhD STEM,Physics,Physics,Level 3,Low
2026-STAR-0131,Region III,27,17,Master of Arts in Ed,Mathematics,Mathematics,Level 2,Low
2026-STAR-0132,Region VII,49,34,Master of Arts in Ed,Mathematics,Mathematics,Level 3,Low
2026-STAR-0133,Region VII,36,18,BS Science,Physics,Physics,Level 2,Low
2026-STAR-0134,BARMM,43,9,Master of Arts in Ed,Biology,Mathematics,Level 1,High
2026-STAR-0135,Region IV-A,26,20,BS Science,Biology,Biology,Level 2,Low
2026-STAR-0136,Region I,29,8,Bachelor of Secondary Education,Mathematics,Mathematics,Level 2,Low
2026-STAR-0137,Region IV-A,36,18,PhD STEM,Physics,Physics,Level 2,Low
2026-STAR-0138,BARMM,28,5,BS Science,Physics,Chemistry,Level 1,High
2026-STAR-0139,NCR,54,28,Bachelor of Secondary Education,Chemistry,Physics,Level 1,High
2026-STAR-0140,BARMM,35,4,BS Science,General Science,General Science,Level 1,Low
2026-STAR-0141,Region III,25,27,BS Science,General Science,Chemistry,Level 1,High
2026-STAR-0142,Region IV-A,53,11,Master of Arts in Ed,Chemistry,Chemistry,Level 2,Low
2026-STAR-0143,Region III,56,13,PhD STEM,General Science,General Science,Level 3,Low
2026-STAR-0144,NCR,33,32,Master of Arts in Ed,Chemistry,Chemistry,Level 2,Low
2026-STAR-0145,Region IV-A,39,27,Bachelor of Secondary Education,Mathematics,Mathematics,Level 2,Low
2026-STAR-0146,Region VII,43,20,BS Science,General Science,Physics,Level 1,High
2026-STAR-0147,Region VIII,29,8,Bachelor of Secondary Education,General Science,General Science,Level 2,Low
2026-STAR-0148,Region VII,29,15,Master of Arts in Ed,Mathematics,Mathematics,Level 2,Low
2026-STAR-0149,Region VII,25,9,PhD STEM,Physics,Physics,Level 3,Low
2026-STAR-0150,NCR,49,19,Bachelor of Secondary Education,Chemistry,Chemistry,Level 3,Low
2026-STAR-0151,Region VII,32,18,Bachelor of Secondary Education,Physics,Physics,Level 3,Low
2026-STAR-0152,Region III,31,17,PhD STEM,Physics,Physics,Level 3,Low
2026-STAR-0153,Region IV-A,40,30,PhD STEM,Physics,Mathematics,Level 1,High
2026-STAR-0154,Region VII,56,21,Bachelor of Secondary Education,Physics,Physics,Level 3,Low
2026-STAR-0155,Region III,41,28,Bachelor of Secondary Education,Mathematics,Mathematics,Level 3,Low
2026-STAR-0156,BARMM,25,7,PhD STEM,Chemistry,Chemistry,Level 2,Low
2026-STAR-0157,BARMM,36,10,PhD STEM,Mathematics,Biology,Level 1,High
2026-STAR-0158,Region IV-A,57,28,Master of Arts in Ed,Biology,Biology,Level 3,Low
2026-STAR-0159,Region VII,59,11,Master of Arts in Ed,Physics,Physics,Level 3,Low
2026-STAR-0160,NCR,29,13,PhD STEM,Physics,Physics,Level 2,Low
2026-STAR-0161,Region VII,26,9,Master of Arts in Ed,Chemistry,Chemistry,Level 2,Low
2026-STAR-0162,Region IV-A,28,21,BS Science,General Science,General Science,Level 3,Low
2026-STAR-0163,Region VIII,25,4,Bachelor of Secondary Education,Mathematics,Mathematics,Level 1,Low
2026-STAR-0164,Region VII,33,11,PhD STEM,Chemistry,Chemistry,Level 3,Low
2026-STAR-0165,Region VII,44,32,Master of Arts in Ed,Mathematics,Mathematics,Level 3,Low
2026-STAR-0166,BARMM,24,5,Master of Arts in Ed,Chemistry,Chemistry,Level 2,Low
2026-STAR-0167,Region IV-A,50,18,Master of Arts in Ed,Physics,Physics,Level 2,Low
2026-STAR-0168,Region VIII,22,10,BS Science,Mathematics,Mathematics,Level 3,Low
2026-STAR-0169,Region IV-A,25,13,BS Science,Chemistry,Mathematics,Level 1,High
2026-STAR-0170,Region III,53,19,PhD STEM,General Science,General Science,Level 2,Low
2026-STAR-0171,BARMM,36,11,Master of Arts in Ed,Biology,Physics,Level 1,High
2026-STAR-0172,BARMM,36,10,Master of Arts in Ed,Chemistry,Chemistry,Level 3,Low
2026-STAR-0173,NCR,26,8,BS Science,Physics,Physics,Level 2,Low
2026-STAR-0174,Region VIII,26,6,Bachelor of Secondary Education,Biology,Physics,Level 1,High
2026-STAR-0175,Region I,36,32,PhD STEM,Mathematics,Chemistry,Level 1,High
2026-STAR-0176,Region III,30,17,PhD STEM,Physics,Physics,Level 3,Low
2026-STAR-0177,Region IV-A,28,18,BS Science,Physics,Physics,Level 2,Low
2026-STAR-0178,NCR,29,9,Master of Arts in Ed,Physics,Chemistry,Level 1,High
2026-STAR-0179,Region IV-A,53,31,Master of Arts in Ed,Biology,Biology,Level 2,Low
2026-STAR-0180,Region VIII,42,7,BS Science,Mathematics,Biology,Level 1,High
2026-STAR-0181,NCR,31,22,Master of Arts in Ed,Physics,Physics,Level 2,Low
2026-STAR-0182,Region IV-A,46,21,BS Science,Biology,Chemistry,Level 1,High
2026-STAR-0183,Region I,53,6,Bachelor of Secondary Education,Mathematics,Mathematics,Level 2,Low
2026-STAR-0184,Region I,59,30,Bachelor of Secondary Education,Biology,Chemistry,Level 1,High
2026-STAR-0185,Region III,39,27,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0186,Region I,59,9,PhD STEM,Mathematics,Mathematics,Level 2,Low
2026-STAR-0187,Region I,45,13,PhD STEM,Biology,Biology,Level 3,Low
2026-STAR-0188,Region IV-A,56,26,Master of Arts in Ed,Chemistry,Chemistry,Level 2,Low
2026-STAR-0189,Region VIII,42,4,Bachelor of Secondary Education,Biology,Biology,Level 1,Low
2026-STAR-0190,Region I,48,6,Bachelor of Secondary Education,Physics,Physics,Level 2,Low
2026-STAR-0191,Region III,29,5,Master of Arts in Ed,General Science,General Science,Level 3,Low
2026-STAR-0192,Region IV-A,40,31,BS Science,General Science,General Science,Level 2,Low
2026-STAR-0193,NCR,36,34,Bachelor of Secondary Education,Biology,Biology,Level 3,Low
2026-STAR-0194,Region VIII,31,7,BS Science,Chemistry,Chemistry,Level 3,Low
2026-STAR-0195,NCR,43,34,Bachelor of Secondary Education,Biology,Biology,Level 2,Low
2026-STAR-0196,Region IV-A,51,34,PhD STEM,Mathematics,Mathematics,Level 2,Low
2026-STAR-0197,Region I,55,25,Master of Arts in Ed,General Science,General Science,Level 3,Low
2026-STAR-0198,Region VII,53,7,BS Science,Biology,General Science,Level 1,High
2026-STAR-0199,Region I,55,13,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0200,Region VIII,39,9,Master of Arts in Ed,Mathematics,General Science,Level 1,High
2026-STAR-0201,BARMM,36,4,Bachelor of Secondary Education,Physics,Physics,Level 1,Low
2026-STAR-0202,Region VII,43,29,Master of Arts in Ed,Chemistry,Chemistry,Level 3,Low
2026-STAR-0203,Region IV-A,32,10,Master of Arts in Ed,Physics,Physics,Level 2,Low
2026-STAR-0204,BARMM,23,10,Bachelor of Secondary Education,Physics,Chemistry,Level 1,High
2026-STAR-0205,BARMM,25,9,BS Science,Physics,Physics,Level 2,Low
2026-STAR-0206,Region IV-A,57,8,Bachelor of Secondary Education,General Science,General Science,Level 3,Low
2026-STAR-0207,Region VII,49,29,BS Science,Mathematics,Mathematics,Level 3,Low
2026-STAR-0208,NCR,28,24,Master of Arts in Ed,Chemistry,Physics,Level 1,High
2026-STAR-0209,Region VIII,43,4,BS Science,Chemistry,General Science,Level 1,High
2026-STAR-0210,Region VII,58,13,Master of Arts in Ed,Chemistry,Chemistry,Level 3,Low
2026-STAR-0211,Region IV-A,42,17,Bachelor of Secondary Education,Chemistry,Chemistry,Level 3,Low
2026-STAR-0212,Region VIII,44,4,PhD STEM,Chemistry,Chemistry,Level 1,Low
2026-STAR-0213,BARMM,39,8,Bachelor of Secondary Education,Biology,Mathematics,Level 1,High
2026-STAR-0214,NCR,42,18,BS Science,Physics,Physics,Level 2,Low
2026-STAR-0215,Region IV-A,40,6,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0216,NCR,43,16,PhD STEM,General Science,General Science,Level 3,Low
2026-STAR-0217,Region III,39,8,BS Science,Mathematics,Mathematics,Level 3,Low
2026-STAR-0218,Region IV-A,29,10,Bachelor of Secondary Education,Biology,Biology,Level 3,Low
2026-STAR-0219,Region VIII,32,2,Master of Arts in Ed,Physics,Physics,Level 1,Low
2026-STAR-0220,Region VII,59,22,PhD STEM,General Science,General Science,Level 2,Low
2026-STAR-0221,Region IV-A,41,25,BS Science,Physics,Physics,Level 3,Low
2026-STAR-0222,Region VII,35,31,PhD STEM,Biology,Biology,Level 2,Low
2026-STAR-0223,NCR,46,29,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0224,NCR,44,11,Bachelor of Secondary Education,Physics,Physics,Level 3,Low
2026-STAR-0225,Region VIII,32,6,BS Science,General Science,Mathematics,Level 1,High
2026-STAR-0226,Region IV-A,29,29,PhD STEM,Mathematics,Mathematics,Level 2,Low
2026-STAR-0227,Region IV-A,47,28,BS Science,General Science,General Science,Level 3,Low
2026-STAR-0228,Region VII,41,14,Bachelor of Secondary Education,Biology,Biology,Level 3,Low
2026-STAR-0229,Region I,53,22,PhD STEM,Biology,Biology,Level 2,Low
2026-STAR-0230,Region I,48,7,Bachelor of Secondary Education,Chemistry,General Science,Level 1,High
2026-STAR-0231,NCR,51,31,Bachelor of Secondary Education,Physics,Physics,Level 2,Low
2026-STAR-0232,Region I,49,25,Bachelor of Secondary Education,General Science,General Science,Level 3,Low
2026-STAR-0233,NCR,41,20,BS Science,Mathematics,Biology,Level 1,High
2026-STAR-0234,BARMM,24,8,Bachelor of Secondary Education,Physics,Physics,Level 3,Low
2026-STAR-0235,Region III,53,17,Master of Arts in Ed,Physics,Physics,Level 3,Low
2026-STAR-0236,Region I,38,22,PhD STEM,Biology,Biology,Level 2,Low
2026-STAR-0237,Region IV-A,27,31,BS Science,Biology,Biology,Level 2,Low
2026-STAR-0238,Region IV-A,45,17,PhD STEM,Chemistry,Biology,Level 1,High
2026-STAR-0239,NCR,49,26,BS Science,Chemistry,Chemistry,Level 2,Low
2026-STAR-0240,Region III,40,22,BS Science,General Science,General Science,Level 2,Low
2026-STAR-0241,NCR,35,12,Master of Arts in Ed,Biology,Biology,Level 2,Low
2026-STAR-0242,BARMM,29,11,BS Science,Mathematics,Mathematics,Level 2,Low
2026-STAR-0243,BARMM,39,6,Master of Arts in Ed,Physics,General Science,Level 1,High
2026-STAR-0244,Region IV-A,37,23,BS Science,Biology,Biology,Level 2,Low
2026-STAR-0245,Region VII,45,25,PhD STEM,Mathematics,Mathematics,Level 3,Low
2026-STAR-0246,Region VIII,42,7,Bachelor of Secondary Education,General Science,General Science,Level 3,Low
2026-STAR-0247,NCR,43,10,PhD STEM,Biology,Biology,Level 3,Low
2026-STAR-0248,Region III,53,23,BS Science,Chemistry,Mathematics,Level 1,High
2026-STAR-0249,Region VIII,32,7,Master of Arts in Ed,Biology,Biology,Level 2,Low
2026-STAR-0250,Region VIII,25,3,Master of Arts in Ed,Biology,Physics,Level 1,High
2026-STAR-0251,NCR,55,25,BS Science,Biology,Biology,Level 2,Low
2026-STAR-0252,Region IV-A,49,6,Master of Arts in Ed,Biology,Biology,Level 2,Low
2026-STAR-0253,Region VIII,26,2,Master of Arts in Ed,General Science,Chemistry,Level 1,High
2026-STAR-0254,Region IV-A,55,13,PhD STEM,Mathematics,Biology,Level 1,High
2026-STAR-0255,Region III,26,5,Master of Arts in Ed,Mathematics,Mathematics,Level 3,Low
2026-STAR-0256,Region III,57,12,Bachelor of Secondary Education,Biology,Biology,Level 3,Low
2026-STAR-0257,Region VII,47,9,Master of Arts in Ed,Mathematics,General Science,Level 1,High
2026-STAR-0258,Region III,57,12,Bachelor of Secondary Education,Mathematics,Mathematics,Level 2,Low
2026-STAR-0259,Region IV-A,34,10,PhD STEM,Mathematics,General Science,Level 1,High
2026-STAR-0260,Region VII,36,29,Bachelor of Secondary Education,Physics,Physics,Level 3,Low
2026-STAR-0261,BARMM,42,7,Master of Arts in Ed,General Science,Biology,Level 1,High
2026-STAR-0262,Region I,56,17,PhD STEM,Chemistry,Chemistry,Level 3,Low
2026-STAR-0263,Region VII,48,7,PhD STEM,Physics,Physics,Level 3,Low
2026-STAR-0264,Region VII,44,7,Bachelor of Secondary Education,Biology,Biology,Level 2,Low
2026-STAR-0265,NCR,53,11,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0266,Region IV-A,49,26,PhD STEM,Physics,Physics,Level 3,Low
2026-STAR-0267,Region IV-A,25,14,BS Science,Chemistry,Mathematics,Level 1,High
2026-STAR-0268,Region VII,58,27,BS Science,Biology,Biology,Level 2,Low
2026-STAR-0269,Region VII,36,22,PhD STEM,General Science,General Science,Level 3,Low
2026-STAR-0270,Region VII,54,33,Master of Arts in Ed,Chemistry,Chemistry,Level 2,Low
2026-STAR-0271,Region III,44,11,Bachelor of Secondary Education,Physics,Physics,Level 3,Low
2026-STAR-0272,NCR,54,26,Bachelor of Secondary Education,Mathematics,General Science,Level 1,High
2026-STAR-0273,Region VII,30,14,Master of Arts in Ed,Biology,Biology,Level 3,Low
2026-STAR-0274,Region IV-A,32,8,Bachelor of Secondary Education,Physics,Physics,Level 2,Low
2026-STAR-0275,NCR,38,15,Bachelor of Secondary Education,Mathematics,Mathematics,Level 3,Low
2026-STAR-0276,BARMM,22,11,BS Science,Physics,Physics,Level 3,Low
2026-STAR-0277,Region IV-A,32,5,Master of Arts in Ed,Physics,Physics,Level 2,Low
2026-STAR-0278,Region I,50,7,PhD STEM,General Science,Physics,Level 1,High
2026-STAR-0279,Region VIII,39,1,PhD STEM,Mathematics,Mathematics,Level 1,Low
2026-STAR-0280,Region IV-A,37,16,Master of Arts in Ed,Biology,Biology,Level 2,Low
2026-STAR-0281,NCR,25,18,BS Science,Chemistry,Biology,Level 1,High
2026-STAR-0282,NCR,39,13,Bachelor of Secondary Education,Mathematics,Mathematics,Level 3,Low
2026-STAR-0283,Region VII,36,20,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0284,Region IV-A,43,7,Master of Arts in Ed,Biology,Physics,Level 1,High
2026-STAR-0285,Region VII,52,27,BS Science,Physics,Physics,Level 2,Low
2026-STAR-0286,Region IV-A,53,29,Bachelor of Secondary Education,Physics,Physics,Level 3,Low
2026-STAR-0287,Region I,40,26,PhD STEM,Biology,Biology,Level 3,Low
2026-STAR-0288,Region III,32,16,BS Science,Chemistry,Chemistry,Level 2,Low
2026-STAR-0289,Region IV-A,33,28,BS Science,Biology,General Science,Level 1,High
2026-STAR-0290,NCR,53,5,BS Science,Chemistry,Chemistry,Level 2,Low
2026-STAR-0291,BARMM,34,7,PhD STEM,General Science,General Science,Level 2,Low
2026-STAR-0292,BARMM,36,3,Bachelor of Secondary Education,Biology,General Science,Level 1,High
2026-STAR-0293,Region VIII,44,8,Bachelor of Secondary Education,Physics,Mathematics,Level 1,High
2026-STAR-0294,BARMM,35,6,BS Science,Chemistry,Physics,Level 1,High
2026-STAR-0295,BARMM,34,11,Master of Arts in Ed,Chemistry,Mathematics,Level 1,High
2026-STAR-0296,Region I,39,13,Master of Arts in Ed,Physics,Physics,Level 3,Low
2026-STAR-0297,Region VIII,30,7,Bachelor of Secondary Education,Physics,Physics,Level 2,Low
2026-STAR-0298,NCR,49,24,BS Science,Mathematics,Mathematics,Level 3,Low
2026-STAR-0299,Region IV-A,37,5,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0300,Region VII,36,15,Master of Arts in Ed,Physics,Physics,Level 2,Low
2026-STAR-0301,Region IV-A,48,12,BS Science,Chemistry,Chemistry,Level 3,Low
2026-STAR-0302,Region VIII,36,4,PhD STEM,Mathematics,Mathematics,Level 1,Low
2026-STAR-0303,Region I,39,8,Master of Arts in Ed,Physics,Physics,Level 2,Low
2026-STAR-0304,Region IV-A,47,23,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0305,BARMM,25,10,Bachelor of Secondary Education,Physics,Physics,Level 2,Low
