Teacher_ID,Region,Age,Years_Experience,Educational_Attainment,Major_Specialization,Subject_Taught,Certification_Level,Fragility_Indicator
2026-STAR-0121,BARMM,43,3,Bachelor of Secondary Education,Chemistry,Chemistry,Level 1,Low
2026-STAR-0122,Region VIII,23,10,PhD STEM,Biology,General Science,Level 1,High
2026-STAR-0123,NCR,51,9,Master of Arts in Ed,Biology,Biology,Level 2,Low
2026-STAR-0124,BARMM,29,11,BS Science,Chemistry,Biology,Level 1,High
2026-STAR-0125,Region I,35,28,Master of Arts in Ed,Chemistry,Chemistry,Level 2,Low
2026-STAR-0126,Region VII,26,16,PhD STEM,Chemistry,Chemistry,Level 3,Low
2026-STAR-0127,Region I,29,22,Master of Arts in Ed,Biology,Biology,Level 3,Low
2026-STAR-0128,Region IV-A,34,7,PhD STEM,Mathematics,Mathematics,Level 3,Low
2026-STAR-0129,Region VII,58,28,BS Science,Chemistry,Chemistry,Level 3,Low
2026-STAR-0130,Region VIII,27,11,Master of Arts in Ed,Physics,Mathematics,Level 1,High
2026-STAR-0131,Region III,47,6,Bachelor of Secondary Education,General Science,General Science,Level 3,Low
2026-STAR-0132,Region I,49,15,PhD STEM,Physics,Physics,Level 3,Low
2026-STAR-0133,Region IV-A,33,8,BS Science,Chemistry,Chemistry,Level 3,Low
2026-STAR-0134,BARMM,41,4,PhD STEM,Mathematics,Chemistry,Level 1,High
2026-STAR-0135,BARMM,22,5,Bachelor of Secondary Education,Biology,Biology,Level 3,Low
2026-STAR-0136,NCR,42,8,PhD STEM,General Science,General Science,Level 3,Low
2026-STAR-0137,Region VII,46,31,BS Science,Biology,Physics,Level 1,High
2026-STAR-0138,Region VIII,43,1,Master of Arts in Ed,Chemistry,Chemistry,Level 1,Low
2026-STAR-0139,Region III,51,20,Bachelor of Secondary Education,Mathematics,Mathematics,Level 2,Low
2026-STAR-0140,BARMM,36,10,BS Science,Physics,Chemistry,Level 1,High
2026-STAR-0141,Region III,44,12,Master of Arts in Ed,Physics,Physics,Level 3,Low
2026-STAR-0142,Region III,56,28,Master of Arts in Ed,Biology,Mathematics,Level 1,High
2026-STAR-0143,Region IV-A,58,29,PhD STEM,Biology,Biology,Level 3,Low
2026-STAR-0144,Region VII,26,24,BS Science,Chemistry,Chemistry,Level 2,Low
2026-STAR-0145,Region VIII,26,5,PhD STEM,General Science,Physics,Level 1,High
2026-STAR-0146,BARMM,36,6,Master of Arts in Ed,General Science,General Science,Level 2,Low
2026-STAR-0147,BARMM,33,2,BS Science,General Science,Mathematics,Level 1,High
2026-STAR-0148,Region III,29,16,PhD STEM,General Science,General Science,Level 3,Low
2026-STAR-0149,NCR,35,15,Master of Arts in Ed,Physics,Physics,Level 3,Low
2026-STAR-0150,Region VII,40,9,BS Science,Mathematics,Mathematics,Level 3,Low
2026-STAR-0151,Region IV-A,25,21,Master of Arts in Ed,General Science,General Science,Level 2,Low
2026-STAR-0152,NCR,39,16,Master of Arts in Ed,Mathematics,Mathematics,Level 2,Low
2026-STAR-0153,NCR,27,32,PhD STEM,General Science,General Science,Level 3,Low
2026-STAR-0154,Region III,32,32,Master of Arts in Ed,Physics,Physics,Level 3,Low
2026-STAR-0155,Region VIII,24,1,PhD STEM,Physics,Chemistry,Level 1,High
2026-STAR-0156,Region IV-A,43,23,Bachelor of Secondary Education,Mathematics,Mathematics,Level 3,Low
2026-STAR-0157,Region VII,46,18,PhD STEM,Mathematics,Mathematics,Level 2,Low
2026-STAR-0158,Region VII,49,17,Master of Arts in Ed,Mathematics,Mathematics,Level 2,Low
2026-STAR-0159,Region III,38,18,Master of Arts in Ed,Physics,Physics,Level 2,Low
2026-STAR-0160,Region IV-A,42,25,PhD STEM,Chemistry,Chemistry,Level 2,Low
2026-STAR-0161,Region IV-A,58,17,Bachelor of Secondary Education,General Science,General Science,Level 2,Low
2026-STAR-0162,Region III,35,27,PhD STEM,General Science,Physics,Level 1,High
2026-STAR-0163,Region III,27,30,PhD STEM,Physics,Physics,Level 2,Low
2026-STAR-0164,Region VIII,28,3,PhD STEM,General Science,Physics,Level 1,High
2026-STAR-0165,Region IV-A,59,22,PhD STEM,Biology,Biology,Level 3,Low
2026-STAR-0166,BARMM,38,9,Bachelor of Secondary Education,Physics,General Science,Level 1,High
2026-STAR-0167,BARMM,24,2,BS Science,Chemistry,Chemistry,Level 1,Low
2026-STAR-0168,Region IV-A,44,5,PhD STEM,Mathematics,Mathematics,Level 3,Low
2026-STAR-0169,BARMM,41,8,PhD STEM,Physics,Chemistry,Level 1,High
2026-STAR-0170,Region IV-A,53,22,Master of Arts in Ed,Physics,General Science,Level 1,High
2026-STAR-0171,Region IV-A,41,14,Bachelor of Secondary Education,General Science,General Science,Level 2,Low
2026-STAR-0172,Region VIII,22,1,BS Science,Chemistry,Chemistry,Level 1,Low
2026-STAR-0173,Region VII,56,32,PhD STEM,Biology,Chemistry,Level 1,High
2026-STAR-0174,Region IV-A,45,13,Master of Arts in Ed,General Science,General Science,Level 3,Low
2026-STAR-0175,Region III,49,30,PhD STEM,Chemistry,Chemistry,Level 3,Low
2026-STAR-0176,Region VII,26,24,PhD STEM,Mathematics,Mathematics,Level 2,Low
2026-STAR-0177,Region VII,56,25,PhD STEM,Physics,Chemistry,Level 1,High
2026-STAR-0178,Region I,51,33,Master of Arts in Ed,General Science,General Science,Level 3,Low
2026-STAR-0179,NCR,31,14,Bachelor of Secondary Education,Biology,Biology,Level 3,Low
2026-STAR-0180,Region III,27,25,Bachelor of Secondary Education,Mathematics,Mathematics,Level 3,Low
2026-STAR-0181,Region VIII,30,6,Bachelor of Secondary Education,General Science,General Science,Level 3,Low
2026-STAR-0182,Region III,46,32,PhD STEM,General Science,General Science,Level 3,Low
2026-STAR-0183,Region III,57,26,Master of Arts in Ed,Physics,Physics,Level 3,Low
2026-STAR-0184,BARMM,39,2,PhD STEM,Biology,General Science,Level 1,High
2026-STAR-0185,BARMM,32,1,PhD STEM,General Science,General Science,Level 1,Low
2026-STAR-0186,Region I,58,25,PhD STEM,Chemistry,Chemistry,Level 2,Low
2026-STAR-0187,BARMM,44,10,BS Science,Mathematics,General Science,Level 1,High
2026-STAR-0188,Region I,52,17,Bachelor of Secondary Education,Mathematics,Mathematics,Level 2,Low
2026-STAR-0189,Region I,38,17,Master of Arts in Ed,Biology,Biology,Level 3,Low
2026-STAR-0190,Region I,31,17,Bachelor of Secondary Education,General Science,General Science,Level 3,Low
2026-STAR-0191,Region III,47,7,Bachelor of Secondary Education,Mathematics,Mathematics,Level 2,Low
2026-STAR-0192,Region III,33,22,PhD STEM,Physics,Physics,Level 3,Low
2026-STAR-0193,NCR,25,13,PhD STEM,Chemistry,Chemistry,Level 2,Low
2026-STAR-0194,Region VII,39,6,Bachelor of Secondary Education,Physics,Physics,Level 2,Low
2026-STAR-0195,Region III,56,22,Bachelor of Secondary Education,Chemistry,Chemistry,Level 3,Low
2026-STAR-0196,NCR,53,20,PhD STEM,General Science,Physics,Level 1,High
2026-STAR-0197,BARMM,39,7,Bachelor of Secondary Education,Biology,Biology,Level 3,Low
2026-STAR-0198,Region III,45,7,Bachelor of Secondary Education,General Science,Physics,Level 1,High
2026-STAR-0199,Region III,35,34,PhD STEM,Physics,Mathematics,Level 1,High
2026-STAR-0200,Region VIII,35,5,BS Science,Physics,Physics,Level 2,Low
2026-STAR-0201,BARMM,42,11,Bachelor of Secondary Education,General Science,Biology,Level 1,High
2026-STAR-0202,Region I,56,5,Master of Arts in Ed,Chemistry,Mathematics,Level 1,High
2026-STAR-0203,Region VIII,44,1,Bachelor of Secondary Education,Physics,Physics,Level 1,Low
2026-STAR-0204,BARMM,30,10,BS Science,Chemistry,Biology,Level 1,High
2026-STAR-0205,Region III,54,33,Master of Arts in Ed,Chemistry,General Science,Level 1,High
2026-STAR-0206,Region IV-A,33,29,Master of Arts in Ed,General Science,Physics,Level 1,High
2026-STAR-0207,Region VII,50,25,Master of Arts in Ed,Chemistry,Chemistry,Level 3,Low
2026-STAR-0208,BARMM,33,7,BS Science,Chemistry,Chemistry,Level 2,Low
2026-STAR-0209,BARMM,33,7,Bachelor of Secondary Education,Physics,Physics,Level 2,Low
2026-STAR-0210,Region III,41,19,PhD STEM,Chemistry,Chemistry,Level 2,Low
2026-STAR-0211,Region I,41,32,BS Science,Biology,Biology,Level 2,Low
2026-STAR-0212,Region VII,31,28,BS Science,General Science,General Science,Level 3,Low
2026-STAR-0213,Region III,42,8,Bachelor of Secondary Education,Chemistry,Chemistry,Level 2,Low
2026-STAR-0214,Region VII,51,23,Master of Arts in Ed,Mathematics,Mathematics,Level 3,Low
2026-STAR-0215,Region IV-A,40,6,BS Science,General Science,General Science,Level 3,Low
2026-STAR-0216,Region VII,30,29,PhD STEM,Chemistry,Chemistry,Level 2,Low
2026-STAR-0217,Region VII,40,9,PhD STEM,Physics,Chemistry,Level 1,High
2026-STAR-0218,Region I,38,7,BS Science,Mathematics,Biology,Level 1,High
2026-STAR-0219,BARMM,31,5,Bachelor of Secondary Education,Chemistry,Mathematics,Level 1,High
2026-STAR-0220,NCR,39,34,BS Science,Chemistry,Chemistry,Level 2,Low
2026-STAR-0221,Region VII,28,29,Master of Arts in Ed,General Science,General Science,Level 3,Low
2026-STAR-0222,NCR,49,29,Bachelor of Secondary Education,Chemistry,Chemistry,Level 2,Low
2026-STAR-0223,BARMM,44,5,Master of Arts in Ed,Biology,Biology,Level 2,Low
2026-STAR-0224,Region VII,39,16,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0225,BARMM,23,8,BS Science,Biology,General Science,Level 1,High
2026-STAR-0226,BARMM,25,5,Bachelor of Secondary Education,Mathematics,Mathematics,Level 2,Low
2026-STAR-0227,Region VIII,41,1,PhD STEM,Biology,Biology,Level 1,Low
2026-STAR-0228,BARMM,41,5,BS Science,Chemistry,Chemistry,Level 3,Low
2026-STAR-0229,BARMM,36,9,BS Science,General Science,Chemistry,Level 1,High
2026-STAR-0230,BARMM,25,11,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0231,Region VIII,40,8,Master of Arts in Ed,General Science,Biology,Level 1,High
2026-STAR-0232,Region VIII,35,2,Master of Arts in Ed,Biology,Biology,Level 1,Low
2026-STAR-0233,NCR,34,11,BS Science,Mathematics,Mathematics,Level 2,Low
2026-STAR-0234,BARMM,39,4,PhD STEM,General Science,Mathematics,Level 1,High
2026-STAR-0235,Region VIII,39,10,Master of Arts in Ed,Mathematics,Mathematics,Level 3,Low
2026-STAR-0236,Region IV-A,55,11,Bachelor of Secondary Education,Physics,Physics,Level 3,Low
2026-STAR-0237,Region III,53,6,Master of Arts in Ed,Biology,Biology,Level 3,Low
2026-STAR-0238,BARMM,41,7,BS Science,Mathematics,Biology,Level 1,High
2026-STAR-0239,Region VII,36,34,Master of Arts in Ed,General Science,General Science,Level 3,Low
2026-STAR-0240,Region III,54,18,Master of Arts in Ed,Physics,Mathematics,Level 1,High
2026-STAR-0241,Region VII,54,20,BS Science,Biology,Biology,Level 2,Low
2026-STAR-0242,Region VII,59,30,BS Science,Chemistry,Chemistry,Level 2,Low
2026-STAR-0243,Region VII,33,21,Master of Arts in Ed,Chemistry,Chemistry,Level 3,Low
2026-STAR-0244,Region I,44,17,Bachelor of Secondary Education,Mathematics,Mathematics,Level 2,Low
2026-STAR-0245,BARMM,36,1,PhD STEM,Chemistry,Biology,Level 1,High
2026-STAR-0246,NCR,54,33,Master of Arts in Ed,Biology,Biology,Level 3,Low
2026-STAR-0247,Region III,46,24,Bachelor of Secondary Education,Mathematics,General Science,Level 1,High
2026-STAR-0248,Region IV-A,26,14,Master of Arts in Ed,Mathematics,Mathematics,Level 2,Low
2026-STAR-0249,NCR,52,22,Bachelor of Secondary Education,Physics,Physics,Level 2,Low
2026-STAR-0250,Region I,47,10,Bachelor of Secondary Education,General Science,Physics,Level 1,High
2026-STAR-0251,BARMM,26,9,Master of Arts in Ed,Physics,General Science,Level 1,High
2026-STAR-0252,NCR,51,16,Master of Arts in Ed,Biology,Biology,Level 3,Low
2026-STAR-0253,Region VII,59,21,Master of Arts in Ed,General Science,Chemistry,Level 1,High
2026-STAR-0254,Region I,28,25,Master of Arts in Ed,Mathematics,Mathematics,Level 3,Low
2026-STAR-0255,Region VII,43,13,Master of Arts in Ed,Biology,Biology,Level 2,Low
2026-STAR-0256,Region I,41,28,Bachelor of Secondary Education,Mathematics,Mathematics,Level 3,Low
2026-STAR-0257,Region III,59,23,BS Science,Mathematics,Mathematics,Level 2,Low
2026-STAR-0258,Region IV-A,27,19,Bachelor of Secondary Education,Chemistry,Chemistry,Level 3,Low
2026-STAR-0259,Region VII,58,5,Master of Arts in Ed,Biology,Biology,Level 3,Low
2026-STAR-0260,BARMM,40,5,Master of Arts in Ed,General Science,General Science,Level 3,Low
2026-STAR-0261,BARMM,35,1,BS Science,Physics,Mathematics,Level 1,High
2026-STAR-0262,Region IV-A,50,29,Bachelor of Secondary Education,General Science,General Science,Level 3,Low
2026-STAR-0263,Region III,49,20,Bachelor of Secondary Education,Mathematics,Mathematics,Level 2,Low
2026-STAR-0264,Region IV-A,58,7,BS Science,Biology,Biology,Level 2,Low
2026-STAR-0265,BARMM,26,4,BS Science,Mathematics,Mathematics,Level 1,Low
2026-STAR-0266,Region IV-A,47,34,Master of Arts in Ed,Physics,Biology,Level 1,High
2026-STAR-0267,Region VIII,33,5,PhD STEM,General Science,General Science,Level 2,Low
2026-STAR-0268,BARMM,41,5,Master of Arts in Ed,Biology,Mathematics,Level 1,High
2026-STAR-0269,Region I,25,17,BS Science,General Science,Physics,Level 1,High
2026-STAR-0270,Region I,33,24,Master of Arts in Ed,Biology,Mathematics,Level 1,High
2026-STAR-0271,Region VIII,31,1,Master of Arts in Ed,Biology,Chemistry,Level 1,High
2026-STAR-0272,Region I,28,18,PhD STEM,General Science,General Science,Level 2,Low
2026-STAR-0273,Region VII,45,19,Bachelor of Secondary Education,Biology,Biology,Level 2,Low
2026-STAR-0274,Region IV-A,39,34,BS Science,Mathematics,Mathematics,Level 3,Low
2026-STAR-0275,Region III,26,32,Bachelor of Secondary Education,Biology,Biology,Level 2,Low
2026-STAR-0276,Region IV-A,36,26,BS Science,Biology,Biology,Level 2,Low
2026-STAR-0277,Region IV-A,40,29,Master of Arts in Ed,Physics,Physics,Level 2,Low
2026-STAR-0278,Region III,46,24,Bachelor of Secondary Education,Mathematics,Mathematics,Level 3,Low
2026-STAR-0279,Region IV-A,35,33,Bachelor of Secondary Education,General Science,General Science,Level 3,Low
2026-STAR-0280,BARMM,31,11,PhD STEM,Mathematics,Biology,Level 1,High
2026-STAR-0281,BARMM,41,6,Master of Arts in Ed,Chemistry,Chemistry,Level 2,Low
2026-STAR-0282,NCR,48,10,Bachelor of Secondary Education,Chemistry,Chemistry,Level 3,Low
2026-STAR-0283,NCR,27,32,Bachelor of Secondary Education,Chemistry,Chemistry,Level 3,Low
2026-STAR-0284,BARMM,44,9,PhD STEM,Chemistry,Mathematics,Level 1,High
2026-STAR-0285,Region VIII,41,6,Master of Arts in Ed,Chemistry,Physics,Level 1,High
2026-STAR-0286,Region IV-A,43,26,Master of Arts in Ed,Chemistry,Chemistry,Level 2,Low
2026-STAR-0287,Region VII,57,26,BS Science,Mathematics,Mathematics,Level 3,Low
2026-STAR-0288,Region VIII,36,7,PhD STEM,Chemistry,Biology,Level 1,High
2026-STAR-0289,Region I,40,17,Master of Arts in Ed,Mathematics,Chemistry,Level 1,High
2026-STAR-0290,Region VII,26,30,Bachelor of Secondary Education,Chemistry,Physics,Level 1,High
2026-STAR-0291,Region VIII,22,5,Master of Arts in Ed,Chemistry,Mathematics,Level 1,High
2026-STAR-0292,NCR,48,19,Bachelor of Secondary Education,Mathematics,Mathematics,Level 2,Low
2026-STAR-0293,BARMM,39,3,PhD STEM,Mathematics,Biology,Level 1,High
2026-STAR-0294,Region IV-A,30,18,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0295,Region III,49,30,PhD STEM,Mathematics,Mathematics,Level 3,Low
2026-STAR-0296,Region VIII,43,4,BS Science,Mathematics,Physics,Level 1,High
2026-STAR-0297,Region IV-A,27,19,PhD STEM,Physics,Physics,Level 2,Low
2026-STAR-0298,Region IV-A,30,32,Bachelor of Secondary Education,General Science,General Science,Level 3,Low
2026-STAR-0299,Region IV-A,41,8,PhD STEM,Mathematics,Mathematics,Level 2,Low
2026-STAR-0300,Region I,26,28,BS Science,Biology,Biology,Level 3,Low
2026-STAR-0301,Region VIII,24,10,Master of Arts in Ed,Chemistry,Physics,Level 1,High
2026-STAR-0302,Region I,49,30,Master of Arts in Ed,Physics,Physics,Level 2,Low
2026-STAR-0303,Region VII,25,9,PhD STEM,Biology,Mathematics,Level 1,High
2026-STAR-0304,NCR,28,24,PhD STEM,Physics,Physics,Level 3,Low
